id,type,name,n,year
759,bk,best nest,319,2019
11200,bk,Fish is fish,114,2019
15579,bk,Sneetches and other stories,223,2019
15585,bk,Corduroy,214,2019
15645,bk,One fish two fish red fish blue fish,380,2019
15890,bk,Horton hatches the egg,161,2019
15891,bk,If I ran the circus,154,2019
28310,bk,Lorax,278,2019
29356,bk,George and Martha,122,2019
36135,bk,Theres a wocket in my pocket,141,2019
45770,bk,Did I ever tell you how lucky you are,237,2019
51814,bk,Richard Scarrys Cars and trucks and things that go,187,2019
53896,bk,Richard Scarrys best Mother Goose ever,164,2019
55833,bk,Marvin K Mooney will you please go now,171,2019
57482,bk,Alexander and the terrible horrible no good very bad day,189,2019
69127,bk,snowy day,195,2019
70516,bk,giving tree,257,2019
70622,bk,Whistle for Willie,192,2019
71960,bk,bears picnic,349,2019
89892,bk,Why mosquitoes buzz in peoples ears a West African tale,127,2019
92742,bk,Frog and toad all year,225,2019
97921,bk,Miss Nelson is missing,106,2019
100846,bk,Are you my mother,295,2019
101004,bk,Go dog go,313,2019
101116,bk,Chicken soup with rice a book of months,107,2019
105411,bk,fish out of water,211,2019
105435,bk,Amelia Bedelia,228,2019
109468,bk,carrot seed,167,2019
109469,bk,Harry by the sea,114,2019
109548,bk,pocket for Corduroy story and pictures,207,2019
110418,bk,Madelines rescue,167,2019
112545,bk,And to think that I saw it on Mulberry street,158,2019
112603,bk,McElligots pool,209,2019
112620,bk,Bartholomew and the oobleck,200,2019
112659,bk,Horton hears a Who,239,2019
112798,bk,Dr Seusss ABC,209,2019
112845,bk,Fox in socks,279,2019
114035,bk,Curious George gets a medal,215,2019
115092,bk,Freight train,243,2019
115497,bk,Cloudy with a chance of meatballs,121,2019
116060,bk,Curious George takes a job,312,2019
116633,bk,Scott standard postage stamp catalogue,139,2019
123246,bk,fly went by,255,2019
127521,bk,Ten apples up on top,268,2019
128776,bk,Days with Frog and Toad,310,2019
131257,bk,Make way for ducklings,193,2019
131338,bk,Happy birthday to you,171,2019
133132,bk,Sam and the firefly,296,2019
133736,bk,Time of wonder,140,2019
134696,bk,Amelia Bedelia helps out,164,2019
135129,bk,cat in the hat comes back,279,2019
135501,bk,Green eggs and ham,333,2019
135553,bk,Scrambled eggs super,196,2019
136493,bk,wrinkle in time,176,2019
136498,bk,Thidwick the big hearted moose,124,2019
136573,bk,On beyond zebra,153,2019
143185,bk,Frederick,148,2019
148452,bk,I had trouble in getting to Solla Sollew,146,2019
159220,bk,Berenstain Bears and the missing dinosaur bone,263,2019
200075,bk,Outside over there,115,2019
213299,bk,Airport,103,2019
219997,bk,chair for my mother,164,2019
240131,bk,Ten nine eight,127,2019
297861,bk,BFG,157,2019
307080,bk,Doctor De Soto,146,2019
359638,bk,School bus,138,2019
362314,bk,butter battle book,206,2019
375312,bk,very busy spider,294,2019
377433,bk,Amelia Bedelia goes camping,237,2019
398149,bk,Caps for sale a tale of a peddler some monkeys and their monkey business,292,2019
411495,bk,Madeline in London,178,2019
411729,bk,Yertle the turtle and other stories,245,2019
411743,bk,Hop on Pop,319,2019
420513,bk,cat in the hat,294,2019
421298,bk,What color is your parachute,124,2019
472938,bk,Pippi Longstocking,126,2019
474581,bk,Theres a nightmare in my closet,115,2019
479991,bk,Owl moon,189,2019
494097,bk,Planting a rainbow,174,2019
502934,bk,I want to be an astronaut,163,2019
512330,bk,Oh the thinks you can think,243,2019
520354,bk,Strega Nona an old tale,199,2019
526232,bk,Color zoo,150,2019
528082,bk,Eating the alphabet fruits and vegetables from A to Z,202,2019
538922,bk,true story of the 3 little pigs,116,2019
545653,bk,Chicka chicka boom boom,366,2019
580870,bk,Color farm,101,2019
597075,bk,very quiet cricket,178,2019
600818,bk,I am not going to get up today,275,2019
607569,bk,Polar bear polar bear what do you hear,223,2019
611424,bk,If you give a moose a muffin,151,2019
614345,bk,Amazing Grace,106,2019
625142,bk,I can read with my eyes shut,273,2019
632096,bk,Frog and Toad are friends,345,2019
638259,bk,Tuesday,102,2019
704021,bk,Old hat new hat,192,2019
706087,bk,Mr Brown can moo Can you,157,2019
713656,bk,Harold and the purple crayon,217,2019
713808,bk,story of Babar the little elephant,146,2019
754578,bk,best American short stories,125,2019
769638,bk,Hunches in bunches,164,2019
770757,bk,story of Ferdinand,178,2019
770918,bk,Wheres Spot,149,2019
770947,bk,Blueberries for Sal,258,2019
783728,bk,Curious George rides a bike,244,2019
1107917,bk,Oh the places youll go,292,2019
1126205,bk,very hungry caterpillar,357,2019
1250832,bk,Chrysanthemum,118,2019
1252774,bk,Brown bear brown bear what do you see,150,2019
1256814,bk,three bears,149,2019
1260303,bk,500 hats of Bartholomew Cubbins,127,2019
1280514,bk,Stinky Cheese Man and other fairly stupid tales,126,2019
1281260,bk,rainbow fish,113,2019
1282284,bk,Froggy gets dressed,163,2019
1285187,bk,catcher in the rye,104,2019
1297775,bk,giver,115,2019
1304871,bk,Stellaluna,147,2019
1321114,bk,Bread and jam for Frances,189,2019
1329611,bk,Owen,126,2019
1337501,bk,Go away big green monster,114,2019
1349696,bk,Good night Gorilla,151,2019
1602652,bk,Wayside School gets a little stranger,132,2019
1607434,bk,Night of the Ninjas,154,2019
1632115,bk,very lonely firefly,148,2019
1655363,bk,Officer Buckle and Gloria,131,2019
1659144,bk,golden compass,181,2019
1672125,bk,lion the witch and the wardrobe,198,2019
1709330,bk,Froggy goes to school,128,2019
1709855,bk,Lillys purple plastic purse,140,2019
1713583,bk,Miss Bindergarten gets ready for kindergarten,105,2019
1714749,bk,My many colored days,115,2019
1716490,bk,Midnight on the moon,129,2019
1731862,bk,grouchy ladybug,279,2019
1793290,bk,Lions at lunchtime,186,2019
1793291,bk,Polar bears past bedtime,116,2019
1815315,bk,Day of the Dragon King,198,2019
1830704,bk,Three tales of my fathers dragon,219,2019
1831517,bk,Frog and toad together,302,2019
1842723,bk,Harry Potter and the sorcerers stone,446,2019
1847063,bk,No David,128,2019
1848868,bk,Hour of the Olympics,188,2019
1856055,bk,Petes a pizza,129,2019
1856063,bk,If you give a pig a pancake,216,2019
1881144,bk,No dragons for tea fire safety for kids and dragons,145,2019
1886970,bk,Harry Potter and the chamber of secrets,273,2019
1894708,bk,Harry Potter and the prisoner of Azkaban,240,2019
1896916,bk,When Sophie gets angry really really angry,106,2019
1906140,bk,David goes to school,124,2019
