id,type,name,n,year
759,bk,best nest,290,2008
3053,bk,Lovable Lyle,126,2008
5674,bk,Whose mouse are you,123,2008
6248,bk,In the night kitchen,377,2008
8262,bk,Leo the late bloomer,259,2008
11200,bk,Fish is fish,228,2008
15579,bk,Sneetches and other stories,414,2008
15585,bk,Corduroy,266,2008
15645,bk,One fish two fish red fish blue fish,416,2008
15890,bk,Horton hatches the egg,425,2008
15891,bk,If I ran the circus,421,2008
15936,bk,kiss for Little Bear,332,2008
22866,bk,Good work Amelia Bedelia,306,2008
28310,bk,Lorax,424,2008
29356,bk,George and Martha,224,2008
30565,bk,Bear detectives the case of the missing pumpkin,300,2008
36135,bk,Theres a wocket in my pocket,354,2008
38314,bk,Ramona the brave,160,2008
45770,bk,Did I ever tell you how lucky you are,254,2008
51814,bk,Richard Scarrys Cars and trucks and things that go,143,2008
53123,bk,Best friends for Frances,145,2008
53290,bk,Play ball Amelia Bedelia,191,2008
55055,bk,runaway bunny,204,2008
55833,bk,Marvin K Mooney will you please go now,300,2008
57482,bk,Alexander and the terrible horrible no good very bad day,319,2008
57567,bk,Ira sleeps over,161,2008
57806,bk,Mouse tales,181,2008
69127,bk,snowy day,277,2008
70175,bk,Where the wild things are,417,2008
70516,bk,giving tree,307,2008
70622,bk,Whistle for Willie,226,2008
71960,bk,bears picnic,273,2008
81369,bk,Rosies walk,159,2008
84972,bk,Mrs Piggle Wiggle,233,2008
85009,bk,Mrs Piggle Wiggles magic,153,2008
87972,bk,foot book,356,2008
89892,bk,Why mosquitoes buzz in peoples ears a West African tale,172,2008
92742,bk,Frog and toad all year,597,2008
94909,bk,Teach us Amelia Bedelia,286,2008
96343,bk,Mouse soup,273,2008
97921,bk,Miss Nelson is missing,285,2008
100232,bk,picture for Harolds room a purple crayon adventure,264,2008
100802,bk,Babar and his children,207,2008
100846,bk,Are you my mother,483,2008
100961,bk,little house,281,2008
101004,bk,Go dog go,419,2008
101114,bk,Pierre a cautionary tale in five chapters and a prologue,150,2008
101116,bk,Chicken soup with rice a book of months,277,2008
105411,bk,fish out of water,191,2008
105435,bk,Amelia Bedelia,390,2008
106009,bk,mouse and the motorcycle,200,2008
106049,bk,Charlie and the chocolate factory,137,2008
109468,bk,carrot seed,302,2008
109469,bk,Harry by the sea,217,2008
109471,bk,No roses for Harry,256,2008
109548,bk,pocket for Corduroy story and pictures,362,2008
110418,bk,Madelines rescue,390,2008
111087,bk,red balloon,224,2008
112545,bk,And to think that I saw it on Mulberry street,324,2008
112556,bk,kings stilts,229,2008
112603,bk,McElligots pool,331,2008
112620,bk,Bartholomew and the oobleck,367,2008
112659,bk,Horton hears a Who,446,2008
112722,bk,Harry and the lady next door,195,2008
112743,bk,Little Bears visit,249,2008
112798,bk,Dr Seusss ABC,245,2008
112845,bk,Fox in socks,451,2008
114035,bk,Curious George gets a medal,397,2008
114544,bk,Mike Mulligan and his steam shovel story and pictures,288,2008
115092,bk,Freight train,252,2008
115497,bk,Cloudy with a chance of meatballs,213,2008
116060,bk,Curious George takes a job,314,2008
116633,bk,Scott standard postage stamp catalogue,371,2008
116851,bk,Curious George flies a kite,130,2008
116909,bk,Father Bear comes home,308,2008
116938,bk,Grasshopper on the road,187,2008
120113,bk,George and Martha one fine day,251,2008
122495,bk,Danny and the dinosaur,431,2008
123822,bk,May I bring a friend,162,2008
125390,bk,Flat Stanley,165,2008
127521,bk,Ten apples up on top,202,2008
128776,bk,Days with Frog and Toad,622,2008
129269,bk,Little Bears friend,231,2008
129525,bk,Curious George,490,2008
131257,bk,Make way for ducklings,320,2008
131264,bk,Curious George goes to the hospital,332,2008
131338,bk,Happy birthday to you,307,2008
133736,bk,Time of wonder,172,2008
134696,bk,Amelia Bedelia helps out,307,2008
134700,bk,Arthurs eyes,198,2008
134921,bk,Ox cart man,111,2008
135129,bk,cat in the hat comes back,364,2008
135501,bk,Green eggs and ham,535,2008
135553,bk,Scrambled eggs super,301,2008
135693,bk,fire cat,162,2008
135943,bk,Richard Scarrys Best first book ever,121,2008
136493,bk,wrinkle in time,285,2008
136497,bk,Little bear,348,2008
136498,bk,Thidwick the big hearted moose,298,2008
136573,bk,On beyond zebra,291,2008
136725,bk,No fighting no biting,147,2008
137238,bk,Sarahs unicorn,156,2008
142802,bk,knight and the dragon,118,2008
143133,bk,tree is nice,140,2008
143185,bk,Frederick,290,2008
144554,bk,Truck,173,2008
148452,bk,I had trouble in getting to Solla Sollew,287,2008
159172,bk,Fables,215,2008
159220,bk,Berenstain Bears and the missing dinosaur bone,283,2008
186968,bk,Swimmy,267,2008
196923,bk,Jumanji,234,2008
200075,bk,Outside over there,215,2008
203009,bk,little red hen,155,2008
205649,bk,light in the attic,187,2008
213299,bk,Airport,259,2008
219997,bk,chair for my mother,222,2008
224498,bk,Arthur goes to camp,202,2008
240131,bk,Ten nine eight,169,2008
297861,bk,BFG,246,2008
307080,bk,Doctor De Soto,307,2008
344448,bk,Arthurs Thanksgiving,117,2008
345248,bk,Patricks dinosaurs,174,2008
348539,bk,In a dark dark room and other scary stories,237,2008
357592,bk,napping house,1033,2008
359638,bk,School bus,265,2008
362314,bk,butter battle book,179,2008
371897,bk,Paul Bunyan a tall tale,161,2008
375312,bk,very busy spider,403,2008
377433,bk,Amelia Bedelia goes camping,316,2008
381758,bk,If you give a mouse a cookie,515,2008
386551,bk,Hand rhymes,109,2008
386890,bk,Miss Nelson has a field day,216,2008
390421,bk,King Bidgoods in the bathtub,237,2008
390807,bk,day Jimmys boa ate the wash,289,2008
391229,bk,broken ear,127,2008
391555,bk,Arthurs loose tooth story and pictures,193,2008
394007,bk,Polar Express,195,2008
398149,bk,Caps for sale a tale of a peddler some monkeys and their monkey business,458,2008
406237,bk,Jesse Bear what will you wear,273,2008
406502,bk,Abiyoyo based on a South African lullaby and folk story,195,2008
411494,bk,If I ran the zoo,344,2008
411495,bk,Madeline in London,282,2008
411729,bk,Yertle the turtle and other stories,435,2008
411743,bk,Hop on Pop,494,2008
420513,bk,cat in the hat,417,2008
421298,bk,What color is your parachute,428,2008
423825,cd,Beatles for sale,152,2008
424617,bk,Madeline,274,2008
425139,bk,Sheep in a jeep,290,2008
428263,bk,Growing vegetable soup,194,2008
439975,cd,Revolver,388,2008
451810,bk,wolfs chicken stew,181,2008
454729,cd,Sgt Peppers Lonely Hearts Club Band,361,2008
469820,bk,Redwall,119,2008
472938,bk,Pippi Longstocking,130,2008
474245,cd,Beatles,351,2008
474581,bk,Theres a nightmare in my closet,257,2008
475999,cd,hard days night,205,2008
476023,cd,Rubber soul,359,2008
476024,cd,Help,223,2008
479991,bk,Owl moon,160,2008
485143,cd,Let it be,326,2008
494097,bk,Planting a rainbow,257,2008
494264,bk,Animalia,207,2008
497965,bk,Arthurs baby,229,2008
498001,cd,Tonights the night,101,2008
498650,cd,Abbey Road,389,2008
500416,bk,Garfield world wide,142,2008
501338,bk,Matilda,170,2008
501766,bk,Red Sea sharks,120,2008
502934,bk,I want to be an astronaut,144,2008
504564,bk,Tacky the penguin,306,2008
506541,bk,Johnny Appleseed a tall tale,167,2008
506725,bk,Goldilocks and the three bears,264,2008
507167,bk,Garfield swallows his pride,113,2008
512330,bk,Oh the thinks you can think,368,2008
520354,bk,Strega Nona an old tale,221,2008
526227,bk,Dinosaurs dinosaurs,260,2008
526232,bk,Color zoo,207,2008
526272,bk,Mouse paint,184,2008
528082,bk,Eating the alphabet fruits and vegetables from A to Z,1157,2008
528181,bk,Garfield chews the fat,223,2008
528182,bk,Garfield rounds out,117,2008
534131,bk,three little pigs,225,2008
535584,bk,Arthurs birthday,163,2008
538922,bk,true story of the 3 little pigs,204,2008
541484,bk,Clifford the small red puppy,130,2008
545640,bk,Were going on a bear hunt,912,2008
545653,bk,Chicka chicka boom boom,1375,2008
566921,bk,Garfield hangs out,258,2008
580168,bk,More more more said the baby 3 love stories,192,2008
580870,bk,Color farm,165,2008
586217,bk,sound and the fury the corrected text,141,2008
590439,bk,house on Mango Street,102,2008
592272,bk,friend for Dragon Dragons first tale,118,2008
597075,bk,very quiet cricket,238,2008
600818,bk,I am not going to get up today,334,2008
601468,bk,Henry and Mudge and the bedtime thumps the ninth book of their adventures,123,2008
607569,bk,Polar bear polar bear what do you hear,156,2008
611424,bk,If you give a moose a muffin,325,2008
613494,bk,Arthur meets the President,104,2008
613636,bk,Arthurs teacher trouble,166,2008
614345,bk,Amazing Grace,116,2008
614974,bk,Jack and the beanstalk,179,2008
625142,bk,I can read with my eyes shut,311,2008
626293,bk,Abuela,175,2008
628025,bk,In the tall tall grass,258,2008
628527,vhs,French in action,139,2008
628651,bk,little mouse the red ripe strawberry and the big hungry bear,208,2008
629278,bk,Mama do you love me,172,2008
630603,bk,Red leaf yellow leaf,166,2008
632096,bk,Frog and Toad are friends,613,2008
634056,cd,Achtung baby,173,2008
637967,bk,Ghosts ghostly tales from folklore,233,2008
638259,bk,Tuesday,219,2008
702464,bk,Goodnight moon,248,2008
704021,bk,Old hat new hat,249,2008
706087,bk,Mr Brown can moo Can you,323,2008
710573,bk,Lyle Lyle crocodile,192,2008
713656,bk,Harold and the purple crayon,989,2008
713808,bk,story of Babar the little elephant,335,2008
721331,bk,three Billy goats Gruff,222,2008
725915,bk,Amelia Bedelia and the baby,197,2008
734034,bk,Miss Nelson is back,185,2008
