id,type,name,n,year
8262,bk,Leo the late bloomer,104,2017
11200,bk,Fish is fish,135,2017
15579,bk,Sneetches and other stories,337,2017
15585,bk,Corduroy,258,2017
15645,bk,One fish two fish red fish blue fish,567,2017
15890,bk,Horton hatches the egg,320,2017
15891,bk,If I ran the circus,430,2017
28310,bk,Lorax,462,2017
29356,bk,George and Martha,130,2017
36135,bk,Theres a wocket in my pocket,449,2017
45770,bk,Did I ever tell you how lucky you are,389,2017
55833,bk,Marvin K Mooney will you please go now,414,2017
57482,bk,Alexander and the terrible horrible no good very bad day,215,2017
57806,bk,Mouse tales,128,2017
69127,bk,snowy day,379,2017
70516,bk,giving tree,333,2017
70622,bk,Whistle for Willie,289,2017
71960,bk,bears picnic,126,2017
81369,bk,Rosies walk,119,2017
87972,bk,foot book,277,2017
89892,bk,Why mosquitoes buzz in peoples ears a West African tale,177,2017
92742,bk,Frog and toad all year,441,2017
96343,bk,Mouse soup,115,2017
97921,bk,Miss Nelson is missing,138,2017
100846,bk,Are you my mother,393,2017
101004,bk,Go dog go,454,2017
101114,bk,Pierre a cautionary tale in five chapters and a prologue,135,2017
101116,bk,Chicken soup with rice a book of months,116,2017
105435,bk,Amelia Bedelia,148,2017
109468,bk,carrot seed,199,2017
109469,bk,Harry by the sea,102,2017
109548,bk,pocket for Corduroy story and pictures,217,2017
110418,bk,Madelines rescue,288,2017
112545,bk,And to think that I saw it on Mulberry street,229,2017
112556,bk,kings stilts,240,2017
112603,bk,McElligots pool,289,2017
112620,bk,Bartholomew and the oobleck,269,2017
112659,bk,Horton hears a Who,447,2017
112798,bk,Dr Seusss ABC,354,2017
112845,bk,Fox in socks,471,2017
114035,bk,Curious George gets a medal,324,2017
115092,bk,Freight train,283,2017
115497,bk,Cloudy with a chance of meatballs,208,2017
116060,bk,Curious George takes a job,396,2017
116633,bk,Scott standard postage stamp catalogue,219,2017
122495,bk,Danny and the dinosaur,147,2017
123246,bk,fly went by,142,2017
125390,bk,Flat Stanley,123,2017
127521,bk,Ten apples up on top,546,2017
128776,bk,Days with Frog and Toad,342,2017
129269,bk,Little Bears friend,122,2017
129525,bk,Curious George,159,2017
131257,bk,Make way for ducklings,250,2017
131264,bk,Curious George goes to the hospital,138,2017
131338,bk,Happy birthday to you,288,2017
133736,bk,Time of wonder,119,2017
134696,bk,Amelia Bedelia helps out,111,2017
135129,bk,cat in the hat comes back,348,2017
135501,bk,Green eggs and ham,593,2017
135553,bk,Scrambled eggs super,310,2017
135693,bk,fire cat,120,2017
136493,bk,wrinkle in time,494,2017
136498,bk,Thidwick the big hearted moose,220,2017
136573,bk,On beyond zebra,218,2017
143133,bk,tree is nice,126,2017
143185,bk,Frederick,236,2017
144554,bk,Truck,140,2017
148452,bk,I had trouble in getting to Solla Sollew,244,2017
186968,bk,Swimmy,100,2017
200075,bk,Outside over there,153,2017
203009,bk,little red hen,102,2017
205649,bk,light in the attic,101,2017
219997,bk,chair for my mother,202,2017
240131,bk,Ten nine eight,118,2017
297861,bk,BFG,292,2017
307080,bk,Doctor De Soto,216,2017
348539,bk,In a dark dark room and other scary stories,117,2017
357592,bk,napping house,176,2017
359638,bk,School bus,182,2017
362314,bk,butter battle book,346,2017
375312,bk,very busy spider,286,2017
377433,bk,Amelia Bedelia goes camping,179,2017
381758,bk,If you give a mouse a cookie,124,2017
398149,bk,Caps for sale a tale of a peddler some monkeys and their monkey business,376,2017
411494,bk,If I ran the zoo,334,2017
411495,bk,Madeline in London,232,2017
411729,bk,Yertle the turtle and other stories,351,2017
411743,bk,Hop on Pop,470,2017
420513,bk,cat in the hat,448,2017
421298,bk,What color is your parachute,164,2017
424617,bk,Madeline,116,2017
425139,bk,Sheep in a jeep,124,2017
428263,bk,Growing vegetable soup,149,2017
472938,bk,Pippi Longstocking,123,2017
474581,bk,Theres a nightmare in my closet,108,2017
479991,bk,Owl moon,219,2017
494097,bk,Planting a rainbow,171,2017
501338,bk,Matilda,181,2017
502934,bk,I want to be an astronaut,114,2017
504564,bk,Tacky the penguin,104,2017
506541,bk,Johnny Appleseed a tall tale,112,2017
512330,bk,Oh the thinks you can think,442,2017
520354,bk,Strega Nona an old tale,159,2017
526272,bk,Mouse paint,124,2017
528082,bk,Eating the alphabet fruits and vegetables from A to Z,350,2017
538922,bk,true story of the 3 little pigs,131,2017
545640,bk,Were going on a bear hunt,175,2017
545653,bk,Chicka chicka boom boom,548,2017
580168,bk,More more more said the baby 3 love stories,139,2017
580870,bk,Color farm,105,2017
597075,bk,very quiet cricket,138,2017
600818,bk,I am not going to get up today,169,2017
607569,bk,Polar bear polar bear what do you hear,310,2017
611424,bk,If you give a moose a muffin,211,2017
614345,bk,Amazing Grace,158,2017
625142,bk,I can read with my eyes shut,427,2017
628025,bk,In the tall tall grass,101,2017
628651,bk,little mouse the red ripe strawberry and the big hungry bear,132,2017
632096,bk,Frog and Toad are friends,488,2017
638259,bk,Tuesday,132,2017
704021,bk,Old hat new hat,428,2017
706087,bk,Mr Brown can moo Can you,383,2017
710573,bk,Lyle Lyle crocodile,146,2017
713656,bk,Harold and the purple crayon,277,2017
713808,bk,story of Babar the little elephant,240,2017
721331,bk,three Billy goats Gruff,124,2017
754578,bk,best American short stories,186,2017
769638,bk,Hunches in bunches,249,2017
770757,bk,story of Ferdinand,348,2017
770918,bk,Wheres Spot,136,2017
770947,bk,Blueberries for Sal,379,2017
783728,bk,Curious George rides a bike,196,2017
909819,bk,Trains,108,2017
911011,bk,Madeline and the bad hat,136,2017
911785,bk,Airplanes,152,2017
1107917,bk,Oh the places youll go,432,2017
1126205,bk,very hungry caterpillar,463,2017
1250832,bk,Chrysanthemum,200,2017
1252774,bk,Brown bear brown bear what do you see,233,2017
1256814,bk,three bears,160,2017
1260303,bk,500 hats of Bartholomew Cubbins,133,2017
1279331,bk,Mirette on the high wire,104,2017
1280514,bk,Stinky Cheese Man and other fairly stupid tales,120,2017
1281260,bk,rainbow fish,125,2017
1282284,bk,Froggy gets dressed,190,2017
1292605,bk,Owl babies,159,2017
1297775,bk,giver,187,2017
1304871,bk,Stellaluna,178,2017
1321114,bk,Bread and jam for Frances,260,2017
1329611,bk,Owen,159,2017
1331329,bk,Everyone poops,135,2017
1331986,bk,In the small small pond,159,2017
1337501,bk,Go away big green monster,171,2017
1349696,bk,Good night Gorilla,148,2017
1602652,bk,Wayside School gets a little stranger,148,2017
1607434,bk,Night of the Ninjas,148,2017
1632115,bk,very lonely firefly,101,2017
1649192,bk,Garfield tons of fun,509,2017
1650915,bk,Mr Putter and Tabby pick the pears,136,2017
1655363,bk,Officer Buckle and Gloria,175,2017
1659144,bk,golden compass,245,2017
1672125,bk,lion the witch and the wardrobe,193,2017
1677984,bk,paperboy,121,2017
1679744,bk,Hallo wiener,117,2017
1709480,bk,Biscuit,109,2017
1709855,bk,Lillys purple plastic purse,196,2017
1714749,bk,My many colored days,185,2017
1716490,bk,Midnight on the moon,204,2017
1720467,bk,Arthur writes a story,125,2017
1726694,bk,Strega Nona her story,102,2017
1731862,bk,grouchy ladybug,220,2017
1752226,bk,subtle knife,122,2017
1772659,bk,magicians nephew,176,2017
1786554,bk,There was an old lady who swallowed a fly,100,2017
1793290,bk,Lions at lunchtime,173,2017
1793291,bk,Polar bears past bedtime,173,2017
1800691,bk,story about Ping,110,2017
1801775,bk,Hooray for Diffendoofer Day,131,2017
1815315,bk,Day of the Dragon King,183,2017
1830704,bk,Three tales of my fathers dragon,306,2017
1831517,bk,Frog and toad together,382,2017
1842723,bk,Harry Potter and the sorcerers stone,581,2017
1847063,bk,No David,259,2017
1848868,bk,Hour of the Olympics,152,2017
1856055,bk,Petes a pizza,179,2017
1856063,bk,If you give a pig a pancake,202,2017
1883164,bk,Interpreter of maladies stories,138,2017
1886970,bk,Harry Potter and the chamber of secrets,506,2017
1894708,bk,Harry Potter and the prisoner of Azkaban,481,2017
1895428,bk,ugly duckling,113,2017
1896916,bk,When Sophie gets angry really really angry,166,2017
1898787,bk,perks of being a wallflower,144,2017
1899415,bk,Over in the meadow,148,2017
1899977,bk,Junie B Jones is almost a flower girl,124,2017
1906140,bk,David goes to school,126,2017
1913929,bk,Bud not Buddy,122,2017
1914042,bk,Arthurs underwear,107,2017
1918776,bk,bad beginning,431,2017
1918777,bk,reptile room,264,2017
1921857,bk,power of now a guide to spiritual enlightenment,198,2017
1923072,bk,Guinness world records,633,2017
1928264,bk,Joseph had a little overcoat,137,2017
1931979,bk,wide window,229,2017
1931980,bk,miserable mill,195,2017
1934916,bk,Captain Underpants and the perilous plot of Professor Poopypants the fourth epic novel,273,2017
1937039,bk,Me talk pretty one day,114,2017
1943938,bk,Click clack moo cows that type,264,2017
1950076,bk,austere academy,222,2017
1953610,bk,Garfield hogs the spotlight,576,2017
1953753,bk,Does a kangaroo have a mother too,119,2017
1953891,bk,seals on the bus,167,2017
1965109,bk,Harry Potter and the goblet of fire,474,2017
1967629,cd,Harry Potter and the goblet of fire,126,2017
1967866,bk,How do Dinosaurs say good night,199,2017
1971693,cd,Harry Potter and the sorcerers stone,226,2017
1972538,bk,Wemberly worried,184,2017
1972971,cd,Station to station,109,2017
1978349,bk,Firefighters A to Z,195,2017
1981301,dvd,Chinatown,107,2017
1981327,dvd,Mr Hollands opus,106,2017
1981331,dvd,Out of Africa,133,2017
1981341,dvd,Saving Private Ryan,153,2017
1998277,bk,Olivia,398,2017
2000301,bk,I will never not ever eat a tomato,193,2017
2001915,dvd,Annie Hall,118,2017
2027636,bk,It looked like spilt milk,190,2017
2032033,bk,ersatz elevator,200,2017
2041541,dvd,Dinosaur,103,2017
2048900,bk,Artemis Fowl,102,2017
2048902,bk,vile village,171,2017
2054039,bk,Of mice and men,165,2017
2063543,bk,three pigs,242,2017
2067216,bk,Captain Underpants and the wrath of the wicked Wedgie Woman the fifth epic novel,360,2017
2070008,bk,hostile hospital,169,2017
2073984,bk,Olivia saves the circus,193,2017
2079599,bk,D W s library card,101,2017
2079608,bk,I am not sleepy and I will not go to bed,101,2017
2079893,bk,Its okay to be different,192,2017
2084660,bk,My car,236,2017
2093921,bk,Garfield at large,559,2017
2094202,bk,Junie B first grader at last,141,2017
2100808,bk,Bear snores on,342,2017
2106959,bk,Life of Pi a novel,102,2017
2114582,dvd,Sense and sensibility,180,2017
2115495,cd,Pimsleur language programs French I A the complete course,150,2017
2115674,bk,Henry and Mudge the first book of their adventures,166,2017
2119387,bk,Duck on a bike,193,2017
2119773,dvd,O brother where art thou,145,2017
2122070,dvd,Lord of the rings The fellowship of the ring,189,2017
2123856,bk,Giggle giggle quack,203,2017
2124013,bk,I stink,283,2017
2126678,cd,Spanish Latin American the short course,188,2017
2127084,cd,Pimsleur language programs Spanish 1 A the complete course,274,2017
2127085,cd,Pimsleur language programs Spanish II A the complete course,163,2017
2128858,dvd,Black Hawk down,113,2017
2128860,dvd,Monsters ball,115,2017
2128864,dvd,Gosford Park,127,2017
2130692,dvd,Rear window,150,2017
2130841,dvd,Memento,159,2017
2130938,dvd,Best in show,143,2017
2130960,bk,If you take a mouse to school,179,2017
2130965,bk,Toot Puddle top of the world,103,2017
2131023,bk,Good morning gorillas,207,2017
2132045,bk,My friend Rabbit,199,2017
2132099,dvd,Dead man,191,2017
2133522,dvd,Almost famous,125,2017
2133850,bk,carnivorous carnival,144,2017
2134777,dvd,Psycho,108,2017
2135305,dvd,Hua yang nian hua,115,2017
2137580,dvd,Funny face,105,2017
2137731,bk,Junie B first grader boss of lunch,125,2017
2138346,cd,Pimsleur language programs Spanish 1 B the complete course,209,2017
2138347,cd,Pimsleur language programs Spanish II B the complete course,137,2017
2140303,bk,Millions of cats,143,2017
2141961,bk,Slowly slowly slowly said the sloth,211,2017
2142284,bk,Peters chair,295,2017
2143650,bk,Thanksgiving on Thursday,266,2017
2146728,bk,Harry the dirty dog,176,2017
2147736,dvd,Pulp fiction,133,2017
2149100,dvd,sopranos the complete first season,144,2017
2153506,bk,tooth book,145,2017
2157128,bk,Junie B first grader toothless wonder,105,2017
2158651,dvd,My big fat Greek wedding,108,2017
2158943,bk,devil in the white city murder magic and madness at the fair that changed America,255,2017
2160505,bk,Garfield eats crow,289,2017
2161503,dvd,Band of brothers,135,2017
2163451,dvd,Donnie Darko,159,2017
2163708,bk,How do dinosaurs get well soon,140,2017
2172283,dvd,Thelma Louise,103,2017
2172952,dvd,Princess Mononoke,217,2017
2172968,dvd,Last tango in Paris,117,2017
2174634,bk,Dont let the pigeon drive the bus,723,2017
2175164,dvd,Good Will Hunting,235,2017
2176667,bk,Harry Potter and the Order of the Phoenix,420,2017
2177583,dvd,Spirited away,531,2017
2183402,bk,Persepolis,146,2017
2186204,dvd,Cold Comfort Farm,105,2017
2188039,dvd,Treasure planet,192,2017
2188119,dvd,Scooby Doo and the ghoul school,130,2017
2188124,dvd,Scooby Doo and the reluctant werewolf,134,2017
2188141,dvd,Balto II wolf quest,141,2017
2188169,dvd,Homeward bound the incredible journey,150,2017
2188415,dvd,Charlottes web,228,2017
2188419,dvd,Stuart Little,202,2017
2191398,cd,Harry Potter and the Order of the Phoenix,121,2017
2191771,bk,city of Ember,167,2017
2192253,bk,namesake,108,2017
2192562,dvd,lord of the rings the two towers,141,2017
2193812,bk,tale of Despereaux being the story of a mouse a princess some soup and a spool of thread,197,2017
2195413,dvd,Secretary,108,2017
2195553,bk,slippery slope,142,2017
2196838,bk,Junie B first grader cheater pants,106,2017
2196847,bk,Panda bear panda bear what do you see,272,2017
2196870,dvd,love bug,132,2017
2198076,bk,Amulet of Samarkand,101,2017
2199093,dvd,Far from heaven,109,2017
2200531,dvd,Road to Perdition,149,2017
2200955,dvd,Minority report,171,2017
2201752,dvd,mummy,199,2017
2201764,dvd,Shawshank redemption,147,2017
2201766,dvd,Stand by me,119,2017
2201783,dvd,Erin Brockovich,110,2017
2204037,bk,Amelia Bedelia bookworm,120,2017
2204041,bk,Diary of a worm,138,2017
2204315,bk,Captain Underpants and the big bad battle of the Bionic Booger Boy part 1 the night of the nasty nostril nuggets the sixth epic novel,418,2017
2206441,bk,Olivia and the missing toy,326,2017
2206450,bk,Mr Putter Tabby stir the soup,101,2017
2208074,dvd,Matrix reloaded,108,2017
2208322,dvd,Jackie Brown,117,2017
2209551,bk,Haunted castle on Hallows Eve,211,2017
2212941,bk,Captain Underpants and the big bad battle of the Bionic Booger Boy part 2 the revenge of the ridiculous Robo Boogers the seventh epic novel,492,2017
2213438,bk,little island,165,2017
2214075,bk,Im mighty,254,2017
2214076,bk,My lucky day,142,2017
2214523,dvd,Bruce Almighty,109,2017
2214524,dvd,Confessions of a dangerous mind,158,2017
2214593,dvd,Nobodys fool,133,2017
2216690,dvd,Looney tunes,107,2017
2217604,bk,Gregor the Overlander,131,2017
2217641,dvd,Roman holiday,168,2017
2217924,bk,family book,229,2017
2222758,dvd,To have and have not,111,2017
2225947,dvd,Freaky Friday,166,2017
2226466,dvd,Tokyo monogatari Tokyo story,136,2017
2227707,dvd,School of Rock,124,2017
2227904,bk,shadow of the wind,102,2017
2231893,bk,Garfield survival of the fattest,358,2017
2232361,dvd,Master and commander the far side of the world,101,2017
2233160,dvd,Brother Bear,143,2017
2236648,bk,snail and the whale,113,2017
2236656,bk,Kittens first full moon,335,2017
2236680,dvd,Runaway jury,116,2017
2238298,dvd,Ordinary people,133,2017
2238375,dvd,Lord of the rings Return of the king,164,2017
2239009,bk,Mister Seahorse,216,2017
2240502,bk,Pigeon finds a hot dog,621,2017
2240652,dvd,Girl interrupted,130,2017
2240673,dvd,Mystic pizza,142,2017
2241673,dvd,Angels in America,150,2017
2241692,dvd,matrix revolutions,125,2017
2242110,bk,Actual size,102,2017
2243020,bk,Maisy goes camping,102,2017
2243079,bk,I like myself,177,2017
2245830,bk,Construction countdown,126,2017
2247335,dvd,Cidade de Deus City of god,119,2017
2248034,dvd,Chocolat,114,2017
